,NAME,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B15003_017E,B15003_018E,B15003_019E,B15003_020E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B01001_001E,B01001_002E,B01001_005E,B01001_006E,B01001_007E,B01001_026E,B01001_029E,B01001_030E,B01001_031E,state,zip code tabulation area
1567,ZCTA5 13334,686,0,0,0,0,0,0,0,0,0,12,70,2,63,0,190,0,34,65,153,59,23,15,0,1065,568,60,15,53,497,93,28,4,36,13334
1568,ZCTA5 13338,950,14,0,0,0,0,0,0,0,0,0,10,14,48,23,291,62,47,111,130,127,69,4,0,1110,587,45,11,3,523,20,13,2,36,13338
1569,ZCTA5 13341,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,6,4,10,34,45,0,0,166,66,4,0,0,100,16,4,0,36,13341
1570,ZCTA5 13346,2950,54,15,0,1,0,0,4,0,9,16,7,3,32,52,547,63,111,249,285,568,498,166,270,6241,2728,102,55,578,3513,45,105,697,36,13346
1571,ZCTA5 13357,7198,46,0,0,0,0,0,0,0,25,52,57,137,110,32,2098,729,608,736,870,896,722,55,25,10786,5377,371,171,230,5409,457,219,36,36,13357
1572,ZCTA5 13407,3506,78,0,0,0,0,0,0,1,21,20,30,61,118,107,1045,198,233,345,543,489,194,19,4,5023,2377,160,143,62,2646,135,129,94,36,13407
1573,ZCTA5 13408,1815,16,0,0,2,0,0,0,0,19,38,105,40,14,6,567,68,92,191,292,223,84,27,26,3845,1794,76,24,366,2051,40,59,504,36,13408
1574,ZCTA5 13418,225,0,0,0,0,0,0,0,3,0,0,0,3,7,6,109,14,18,17,9,39,0,0,0,345,206,8,21,16,139,10,0,0,36,13418
1575,ZCTA5 13329,2865,54,0,0,0,0,0,0,6,5,51,60,65,78,45,997,193,275,321,396,124,171,10,4,4227,2156,108,84,50,2071,89,83,17,36,13329
1576,ZCTA5 13355,613,4,0,0,0,0,0,0,0,0,0,26,19,0,21,250,24,13,62,105,64,21,4,0,941,422,28,5,26,519,19,64,4,36,13355
1577,ZCTA5 13368,732,2,0,0,0,0,0,0,0,0,0,4,22,13,24,328,43,37,51,80,72,46,4,6,1062,501,37,4,3,561,42,13,16,36,13368
1578,ZCTA5 13035,5582,59,0,0,0,0,0,0,12,7,13,15,44,41,36,1148,144,320,573,599,1431,755,260,125,8422,4202,309,154,252,4220,197,206,429,36,13035
