,NAME,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B15003_017E,B15003_018E,B15003_019E,B15003_020E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B01001_001E,B01001_002E,B01001_005E,B01001_006E,B01001_007E,B01001_026E,B01001_029E,B01001_030E,B01001_031E,state,zip code tabulation area
0,ZCTA5 11804,3235,0,0,0,0,11,0,0,0,0,8,0,9,20,7,580,34,125,242,104,1067,765,242,21,4671,2351,102,138,125,2320,212,94,10,36,11804
1,ZCTA5 11930,739,2,0,0,2,0,3,0,0,23,0,4,0,7,15,181,0,4,61,96,181,90,54,16,882,432,22,18,0,450,4,0,0,36,11930
2,ZCTA5 11941,1370,5,0,0,0,0,0,6,16,0,0,0,0,0,5,300,16,81,166,197,264,274,40,0,1797,819,18,30,18,978,27,0,0,36,11941
3,ZCTA5 11962,267,15,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,2,17,9,170,18,15,0,324,162,9,16,0,162,4,0,0,36,11962
4,ZCTA5 11702,10626,100,4,0,0,0,0,0,21,45,0,48,13,51,105,1963,214,596,1036,856,3232,1800,350,192,14127,7083,354,265,140,7044,377,222,58,36,11702
5,ZCTA5 11710,24811,209,0,0,5,0,16,20,11,120,52,239,142,184,282,5242,517,964,2254,2209,6894,4147,907,397,34634,16827,1247,775,340,17807,1036,460,355,36,11710
6,ZCTA5 11530,18423,20,0,0,0,0,21,77,48,10,40,22,45,43,104,1988,191,521,1186,1148,6598,4079,1783,499,28460,13760,887,871,483,14700,925,653,652,36,11530
7,ZCTA5 11566,23136,194,18,0,0,6,9,34,157,8,63,57,109,183,194,3004,362,1111,2250,1699,6892,5015,1320,424,33331,16724,1174,823,301,16607,1218,660,262,36,11566
8,ZCTA5 11705,5206,60,0,0,0,0,0,0,6,0,24,9,35,36,47,862,99,229,720,661,1244,1028,104,42,7721,3917,190,228,72,3804,348,213,125,36,11705
9,ZCTA5 11709,4946,76,0,0,0,0,0,11,23,0,1,11,0,26,49,950,117,209,753,336,1145,949,221,67,6735,3417,167,193,152,3318,227,122,36,36,11709
10,ZCTA5 11714,16508,231,0,10,0,0,8,17,85,28,67,71,55,79,380,4503,284,742,1888,1200,4321,2070,306,153,22741,11114,797,282,160,11627,411,359,195,36,11714
11,ZCTA5 11722,20519,1278,0,7,96,20,156,173,315,162,219,487,392,343,1083,5765,800,1388,2487,1450,2381,1003,222,87,31878,16031,1308,690,603,15847,1208,636,489,36,11722
12,ZCTA5 11725,20857,196,14,0,35,9,1,0,0,0,50,32,29,99,209,4387,209,1083,2239,1909,5692,3595,651,413,29396,14526,976,723,291,14870,846,504,262,36,11725
13,ZCTA5 11727,20935,240,0,0,2,0,0,118,18,24,44,260,173,344,394,5558,533,1529,2733,2451,3573,2240,393,296,29736,14573,1253,656,200,15163,852,506,182,36,11727
14,ZCTA5 11730,9486,31,0,0,0,0,0,20,12,25,66,62,48,54,112,2428,299,715,900,1017,1975,1433,235,54,13663,6983,521,342,115,6680,381,199,189,36,11730
15,ZCTA5 11746,46249,1305,23,72,18,38,186,180,366,207,516,389,211,364,579,8461,837,2277,4186,3117,11632,6958,2989,1185,67863,34559,3012,1441,860,33304,1773,1699,531,36,11746
16,ZCTA5 11765,515,2,0,0,0,0,0,3,0,0,0,3,4,0,6,29,2,9,25,27,180,147,64,14,782,379,40,18,8,403,45,30,0,36,11765
17,ZCTA5 11767,10412,31,0,45,0,0,39,50,54,8,15,62,22,84,129,2294,154,460,1127,1027,2746,1683,265,117,14952,7336,514,354,139,7616,630,397,182,36,11767
18,ZCTA5 11769,6275,19,0,0,0,0,0,0,5,57,0,12,22,33,92,1363,121,548,730,590,1343,1141,109,90,8340,3915,249,145,97,4425,199,99,104,36,11769
19,ZCTA5 11901,20356,536,0,0,32,65,114,151,601,115,221,433,478,688,420,6489,703,1168,2141,1631,2404,1230,451,176,28387,14591,591,431,396,13796,670,426,159,36,11901
20,ZCTA5 11950,10288,146,0,0,0,7,0,137,108,5,66,46,145,344,332,3773,698,750,1135,1001,996,445,15,105,16444,7891,483,570,223,8553,785,369,222,36,11950
21,ZCTA5 11952,4053,10,4,0,0,0,0,21,45,23,20,0,0,5,39,1138,41,103,587,362,945,477,86,105,5010,2483,131,55,21,2527,21,64,55,36,11952
22,ZCTA5 11717,40760,2475,38,18,96,149,319,339,1300,699,666,2455,632,1182,1862,12056,1414,2206,4298,2476,3894,1367,280,103,63492,30891,2231,1189,889,32601,2543,1601,901,36,11717
23,ZCTA5 11718,2143,7,0,0,0,0,0,0,0,0,0,0,20,11,15,235,40,151,231,134,742,398,125,34,3075,1535,112,76,24,1540,105,78,33,36,11718
24,ZCTA5 11733,11399,116,0,0,0,0,0,0,30,0,42,22,51,81,132,1553,90,410,876,720,2917,2597,872,890,16363,8361,654,383,166,8002,636,398,123,36,11733
25,ZCTA5 11742,8915,64,0,0,8,0,9,0,21,21,33,54,63,147,190,2522,239,602,1217,924,1568,979,95,151,12438,6062,515,292,76,6376,346,218,100,36,11742
26,ZCTA5 11753,9010,91,0,0,0,0,15,11,0,42,18,9,7,30,114,711,87,160,521,454,3428,2059,985,267,12857,6255,428,352,126,6602,464,340,42,36,11753
27,ZCTA5 11756,30418,473,10,0,0,38,42,40,93,43,171,150,252,227,693,8353,630,1918,3411,3725,5941,3311,511,323,43446,21185,1240,806,604,22261,1307,670,809,36,11756
28,ZCTA5 11763,20123,212,0,0,0,0,59,148,182,55,201,132,248,243,330,6143,667,1341,2277,2619,3515,1463,164,124,28579,13525,750,476,412,15054,666,708,476,36,11763
29,ZCTA5 11766,8142,135,0,0,0,0,0,3,74,10,37,69,68,56,112,1480,136,565,829,1072,1769,1227,252,230,11720,5879,397,272,68,5841,303,279,161,36,11766
30,ZCTA5 11771,6821,67,0,0,0,0,0,0,2,8,57,56,44,27,46,1262,68,243,655,418,2093,1091,511,173,9150,4250,183,119,61,4900,281,271,74,36,11771
31,ZCTA5 11778,8200,78,0,0,0,35,0,37,18,0,23,66,138,96,87,1886,231,623,948,922,1608,1231,63,110,12081,6051,250,332,170,6030,460,288,118,36,11778
32,ZCTA5 11222,30410,365,0,0,40,0,19,62,254,194,340,402,216,326,333,4087,604,1275,2549,1369,11766,4934,877,327,36872,17959,355,235,118,18913,369,157,307,36,11222
33,ZCTA5 11233,52273,993,10,0,50,159,332,574,382,363,778,1075,1501,2008,1103,15054,2264,1295,6126,4054,9309,3796,474,322,79439,36706,2212,1426,826,42733,2433,1503,727,36,11233
34,ZCTA5 11235,59598,1516,22,117,20,66,118,455,629,267,850,539,632,539,1174,10816,1801,1507,4386,4573,16947,9245,2096,1052,78775,37786,2232,1004,625,40989,1751,1091,562,36,11235
35,ZCTA5 11426,14374,206,6,0,4,21,56,98,69,66,148,132,104,170,505,3306,720,576,1601,1008,3019,1813,540,206,20524,10145,765,319,194,10379,398,267,181,36,11426
36,ZCTA5 11427,17408,737,0,49,8,11,29,112,140,9,252,317,214,264,532,3731,699,578,2394,1485,3603,1679,376,160,24560,12261,718,511,312,12299,510,417,250,36,11427
37,ZCTA5 11042,506,7,0,0,0,0,0,0,0,29,21,15,8,45,15,202,8,23,8,16,22,28,36,7,506,205,0,0,0,301,0,0,0,36,11042
38,ZCTA5 11101,23265,415,0,12,0,0,54,128,92,101,429,132,247,395,446,4717,718,427,1752,1153,6929,3211,1469,438,31366,15644,647,303,240,15722,534,575,185,36,11101
39,ZCTA5 11205,27841,591,16,19,23,8,91,99,240,124,657,466,619,571,1018,4347,1012,832,2996,1331,7462,3965,920,343,46843,21565,1497,860,738,25278,1690,819,1077,36,11205
40,ZCTA5 11215,51920,763,17,0,50,31,35,109,297,80,230,435,172,413,496,3517,430,794,2509,1647,18919,13793,4975,2169,69873,33513,1886,914,235,36360,1588,1030,273,36,11215
41,ZCTA5 11219,48467,3069,41,30,23,119,276,661,2056,369,1227,2154,759,642,4178,14728,1411,1220,3496,1851,6222,2460,740,211,89371,44553,3635,1926,1101,44818,4125,2123,1043,36,11219
42,ZCTA5 11226,69053,1072,33,0,52,27,182,321,1023,501,850,870,793,1463,2241,20947,2776,1854,9556,3490,13267,5896,1201,413,99558,45832,2841,1946,852,53726,2888,1832,1070,36,11226
43,ZCTA5 11228,31968,1400,6,6,0,98,188,475,654,189,680,536,407,340,984,8091,774,1016,2268,2282,7195,3141,653,395,44348,21726,1274,787,540,22622,1199,810,409,36,11228
44,ZCTA5 11236,68962,1120,5,37,9,96,105,814,569,268,860,672,994,991,1761,16998,4476,2460,10723,6289,12782,5682,801,297,100844,43880,3006,2161,1105,56964,3339,1862,1163,36,11236
45,ZCTA5 14706,4404,68,0,0,0,0,0,0,0,0,7,66,39,44,125,1004,197,289,528,706,708,562,41,20,6163,2795,164,71,17,3368,272,167,49,36,14706
46,ZCTA5 14709,1025,1,0,1,0,0,0,0,2,0,23,16,11,21,19,375,65,62,111,129,103,65,14,7,1389,755,72,38,11,634,21,18,12,36,14709
47,ZCTA5 14710,2478,8,0,0,0,0,0,0,0,0,62,25,18,71,9,769,172,163,253,373,333,181,19,22,3443,1797,207,31,17,1646,53,52,36,36,14710
48,ZCTA5 14711,1114,0,0,0,0,0,0,0,0,0,67,18,7,0,36,394,86,71,104,151,78,82,7,13,1814,963,105,46,24,851,50,26,5,36,14711
49,ZCTA5 14729,642,2,0,0,0,0,0,0,0,3,1,1,3,20,14,234,41,48,95,71,57,35,0,17,906,511,20,8,3,395,12,13,6,36,14729
50,ZCTA5 14011,6717,32,0,0,0,12,0,59,36,53,70,158,264,213,104,1717,777,545,739,803,738,348,30,19,9198,5725,168,98,117,3473,310,150,95,36,14011
51,ZCTA5 14020,16214,143,0,0,0,0,31,25,18,73,110,157,234,452,148,4527,947,1111,2057,2401,2052,1365,188,175,22707,11263,645,435,135,11444,394,462,248,36,14020
52,ZCTA5 14030,1303,40,0,0,0,0,4,0,3,0,23,27,22,11,7,477,43,108,105,273,135,20,0,5,1800,954,85,20,5,846,79,10,64,36,14030
53,ZCTA5 14132,3913,32,0,0,0,0,0,11,0,0,17,52,106,63,74,1143,144,279,569,420,658,270,61,14,5632,2768,298,80,106,2864,141,144,48,36,14132
54,ZCTA5 14201,7706,132,0,5,9,0,10,56,80,113,217,319,227,176,231,1193,561,336,827,605,1391,749,320,98,11935,5611,475,249,111,6324,531,328,188,36,14201
55,ZCTA5 14206,14656,196,0,0,0,0,41,27,32,0,121,311,376,521,501,4622,791,949,2007,1737,1677,630,61,44,20310,10042,598,390,214,10268,431,339,309,36,14206
56,ZCTA5 14210,9978,125,0,0,12,0,0,15,21,74,184,234,315,336,293,2858,892,649,1231,1331,1012,350,21,25,14249,7029,306,123,151,7220,404,284,119,36,14210
57,ZCTA5 14222,9613,112,0,0,0,0,0,0,1,0,56,60,96,166,112,867,216,232,1200,692,2654,1808,735,586,14114,7022,181,97,636,7092,90,182,727,36,14222
58,ZCTA5 14301,8519,196,0,0,0,0,0,15,1,70,126,249,259,291,208,2550,598,721,938,926,818,431,45,68,12704,5912,573,250,118,6792,413,216,102,36,14301
59,ZCTA5 12737,1233,0,0,0,0,0,0,0,0,0,13,4,6,0,20,321,53,57,204,101,224,158,37,35,1963,1064,48,37,0,899,64,41,10,36,12737
60,ZCTA5 12738,206,0,0,0,0,0,0,0,13,0,0,0,0,19,0,58,0,27,11,22,32,15,0,9,304,151,27,0,0,153,0,22,0,36,12738
61,ZCTA5 12740,1447,2,0,0,0,0,0,0,7,11,0,41,12,47,19,359,64,111,312,153,117,158,2,32,2035,1078,122,75,18,957,44,39,20,36,12740
62,ZCTA5 12754,4620,107,0,0,63,0,0,0,98,66,128,135,33,113,39,1526,355,152,603,440,351,288,78,26,6602,3304,245,222,116,3298,93,72,93,36,12754
63,ZCTA5 12758,2847,0,0,0,0,0,0,0,5,10,33,113,50,51,108,852,148,223,190,460,327,253,22,2,3835,2055,114,92,40,1780,90,108,25,36,12758
64,ZCTA5 12815,861,2,0,0,0,0,0,0,0,0,24,18,18,4,20,234,35,20,113,89,144,105,20,15,1065,515,39,5,16,550,20,10,0,36,12815
65,ZCTA5 12822,4278,51,0,9,0,0,0,0,6,35,95,101,130,79,94,1652,286,279,316,477,476,173,0,19,6060,3189,232,68,93,2871,80,192,77,36,12822
66,ZCTA5 12827,2524,21,0,0,0,0,0,9,0,21,5,44,20,23,29,944,152,134,250,387,264,189,27,5,3622,1889,109,53,25,1733,44,66,53,36,12827
67,ZCTA5 12841,165,0,0,0,0,0,0,0,0,0,2,0,0,17,0,43,0,15,14,21,19,26,8,0,165,53,0,0,0,112,0,0,0,36,12841
68,ZCTA5 12842,654,8,0,0,0,0,0,0,0,1,0,27,0,25,4,169,16,23,220,49,74,31,5,2,797,339,0,5,10,458,7,15,0,36,12842
69,ZCTA5 12845,3541,36,0,0,0,0,0,14,3,4,12,14,112,55,45,802,176,255,382,471,695,354,87,24,4570,2308,211,73,65,2262,101,93,43,36,12845
70,ZCTA5 12852,327,4,0,0,0,0,0,0,2,1,10,5,4,19,0,92,13,20,40,21,50,34,6,6,375,200,16,0,4,175,7,2,0,36,12852
71,ZCTA5 12858,116,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,4,0,3,23,40,28,0,0,116,62,0,0,0,54,0,0,0,36,12858
72,ZCTA5 12860,428,0,0,0,0,0,0,0,0,0,0,0,11,0,7,150,19,7,48,68,103,15,0,0,526,268,0,3,4,258,0,4,23,36,12860
73,ZCTA5 12863,489,0,0,0,0,0,0,0,0,0,0,0,23,18,0,121,28,16,49,43,66,86,19,20,835,469,10,15,29,366,14,14,0,36,12863
74,ZCTA5 12865,2650,3,0,0,0,0,10,0,10,21,89,77,46,71,25,710,117,167,327,325,335,246,55,16,3551,1807,110,53,40,1744,48,60,36,36,12865
75,ZCTA5 12169,197,0,0,0,0,0,0,0,0,0,0,0,0,0,9,48,0,16,0,52,49,23,0,0,252,99,0,8,0,153,0,20,0,36,12169
76,ZCTA5 12176,320,10,0,0,0,0,0,0,0,0,0,0,0,0,8,225,16,0,16,11,15,19,0,0,451,201,0,8,9,250,7,0,0,36,12176
77,ZCTA5 12185,1414,2,0,0,0,0,0,0,0,0,2,1,43,17,7,406,35,69,188,212,267,152,11,2,2006,915,50,9,21,1091,67,12,63,36,12185
78,ZCTA5 12202,5632,81,0,0,0,0,12,0,0,0,128,60,273,335,91,1430,251,294,620,531,719,556,124,75,8342,4009,304,96,164,4333,221,151,22,36,12202
79,ZCTA5 12008,469,0,0,0,0,0,0,0,0,0,0,24,0,0,0,79,0,32,27,62,126,75,0,44,668,327,34,14,30,341,29,0,0,36,12008
80,ZCTA5 12028,625,9,0,0,0,0,0,0,0,0,4,7,9,3,14,194,20,14,107,72,98,48,12,14,849,443,6,34,18,406,30,0,34,36,12028
81,ZCTA5 12035,497,0,0,0,0,0,0,0,0,0,7,0,12,15,3,130,63,55,99,47,17,44,0,5,722,399,15,51,8,323,60,0,0,36,12035
82,ZCTA5 12061,7226,26,0,0,0,0,0,7,0,6,53,15,50,68,66,1334,200,351,812,642,1796,1390,314,96,9656,4499,272,210,59,5157,170,210,52,36,12061
83,ZCTA5 12092,628,5,0,0,0,0,0,0,0,0,0,22,17,0,13,257,61,71,46,67,26,43,0,0,752,271,15,0,0,481,6,0,0,36,12092
84,ZCTA5 12110,13715,76,0,0,0,0,2,61,30,25,63,77,41,179,170,2842,375,707,1502,1918,3135,1811,349,330,21665,10862,583,337,919,10803,576,604,781,36,12110
85,ZCTA5 12147,352,0,0,0,0,0,0,0,0,0,0,0,10,0,7,110,10,10,8,55,64,53,11,14,487,270,33,48,0,217,6,0,0,36,12147
86,ZCTA5 12160,708,16,0,0,0,0,0,0,0,0,0,32,34,26,8,241,35,45,77,64,96,18,16,0,962,445,30,7,0,517,9,11,0,36,12160
87,ZCTA5 12180,35187,316,0,0,11,0,6,44,146,144,478,461,569,860,572,7652,1961,2088,3803,4410,6332,3845,790,652,53464,26025,951,932,2224,27439,1095,838,1431,36,12180
88,ZCTA5 12184,4974,52,0,0,0,0,113,0,0,53,48,34,54,28,12,1263,177,257,542,598,945,642,109,31,6840,3356,214,137,79,3484,138,163,15,36,12184
89,ZCTA5 12196,2415,2,0,0,0,47,0,0,0,0,0,0,15,16,25,570,93,75,269,306,507,316,86,88,3522,1816,33,87,0,1706,277,53,26,36,12196
90,ZCTA5 12198,5710,36,0,0,0,0,66,0,2,0,10,4,21,66,170,1279,245,385,710,856,1088,593,100,79,7871,4013,343,216,77,3858,257,153,87,36,12198
91,ZCTA5 12208,14236,125,0,0,0,0,12,56,146,49,91,110,142,81,137,1970,271,602,1242,1326,3730,2829,775,539,21666,10272,472,196,240,11394,302,253,252,36,12208
92,ZCTA5 12210,6238,40,0,0,0,2,3,0,16,0,65,112,89,157,123,966,303,217,898,488,1421,855,268,215,9583,4798,218,116,168,4785,178,161,34,36,12210
93,ZCTA5 12412,420,0,48,0,0,0,0,0,0,0,10,0,0,30,0,81,26,0,53,0,163,9,0,0,473,253,0,0,0,220,27,0,0,36,12412
94,ZCTA5 12423,747,53,0,0,0,0,3,0,0,0,6,4,0,5,13,252,28,52,38,111,120,48,7,7,1050,526,31,80,5,524,0,21,11,36,12423
95,ZCTA5 12427,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,37,47,53,134,53,45,0,6,600,296,0,9,0,304,0,8,0,36,12427
96,ZCTA5 12434,648,14,0,0,0,0,0,0,0,0,0,19,9,19,7,170,47,11,153,91,63,45,0,0,842,437,30,28,21,405,13,0,0,36,12434
97,ZCTA5 12442,562,0,0,0,0,0,0,0,0,0,0,0,0,16,0,194,20,38,70,93,60,61,10,0,675,281,0,0,0,394,16,9,22,36,12442
98,ZCTA5 12448,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,30,36,136,55,36,18,413,200,0,9,0,213,13,8,0,36,12448
99,ZCTA5 12449,2727,95,0,0,0,0,0,15,21,12,67,21,95,46,33,846,200,123,305,308,378,136,16,10,3436,1661,35,70,29,1775,62,130,9,36,12449
100,ZCTA5 12458,2342,6,0,0,0,7,0,15,0,0,31,38,44,126,37,618,398,141,217,256,246,120,39,3,2778,1769,66,41,26,1009,46,14,37,36,12458
101,ZCTA5 12459,187,0,0,0,0,0,0,0,0,0,0,26,14,0,0,77,0,0,32,0,11,27,0,0,213,124,0,0,18,89,0,0,0,36,12459
102,ZCTA5 12461,1348,0,0,0,0,0,0,0,0,0,38,47,0,0,75,348,52,2,144,107,221,203,61,50,1654,800,0,0,38,854,29,15,14,36,12461
103,ZCTA5 12471,205,0,0,0,0,0,0,0,0,0,0,0,0,29,0,33,18,15,42,37,0,31,0,0,281,143,30,7,39,138,0,0,0,36,12471
104,ZCTA5 14024,1064,2,0,0,0,0,0,0,0,2,22,2,14,13,21,429,67,95,99,134,105,55,2,2,1552,827,44,30,28,725,50,29,14,36,14024
105,ZCTA5 14075,31488,153,0,0,0,0,0,7,17,9,115,138,222,215,303,7197,1137,1634,4100,4378,6924,3922,770,241,42780,19794,1196,813,397,22986,1044,1021,484,36,14075
106,ZCTA5 14081,2245,0,0,0,0,0,0,0,20,0,33,38,17,38,26,708,254,147,280,244,282,104,26,28,3123,1519,32,84,53,1604,121,53,14,36,14081
107,ZCTA5 14091,748,6,0,0,0,0,0,0,0,7,0,17,10,9,9,253,64,31,75,125,97,45,0,0,1149,593,43,21,6,556,32,32,0,36,14091
108,ZCTA5 14127,21743,55,0,0,0,0,23,34,16,0,45,43,131,259,327,3985,522,943,1970,2811,5297,3808,1013,461,30191,14959,976,697,435,15232,999,531,256,36,14127
109,ZCTA5 14836,642,13,0,0,0,0,0,0,0,2,3,0,0,11,19,207,45,55,84,76,57,68,2,0,892,438,22,2,21,454,5,20,0,36,14836
110,ZCTA5 14850,35050,259,0,20,9,0,64,51,28,39,67,121,366,231,453,4038,882,1387,1946,2260,8697,7707,1387,4887,64221,31468,1049,676,3465,32753,1068,692,4150,36,14850
111,ZCTA5 14865,2123,7,0,0,0,0,0,0,8,0,24,17,61,46,54,674,101,200,324,175,274,135,20,3,2874,1345,58,84,27,1529,93,94,13,36,14865
112,ZCTA5 14872,475,12,0,0,0,0,7,0,0,0,12,0,12,0,23,195,6,26,47,43,58,34,0,0,657,362,8,7,42,295,0,0,0,36,14872
113,ZCTA5 14873,1697,7,0,0,0,0,0,0,0,12,41,23,47,39,24,648,90,111,148,174,212,96,20,5,2574,1329,124,44,25,1245,109,71,24,36,14873
114,ZCTA5 14881,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,31,35,35,0,18,159,89,0,0,0,70,0,0,0,36,14881
115,ZCTA5 14569,4343,5,0,0,0,0,0,0,17,0,78,77,25,48,180,1240,385,194,539,682,483,297,88,5,5896,2870,197,111,63,3026,185,47,42,36,14569
116,ZCTA5 14606,19186,431,0,0,23,69,56,54,128,88,318,321,728,684,461,5018,1275,1319,2376,2454,2144,828,177,218,28296,13794,1069,423,250,14502,709,532,188,36,14606
117,ZCTA5 14617,16334,90,0,0,0,0,33,0,13,54,29,22,214,181,171,2784,450,832,1616,2102,4419,2622,377,316,22774,10814,752,558,251,11960,717,562,135,36,14617
118,ZCTA5 11428,13690,401,0,0,1,10,36,142,206,27,323,328,288,159,373,3898,750,793,1733,1249,1913,841,144,65,18836,9272,606,331,134,9564,607,419,131,36,11428
119,ZCTA5 11433,24362,1106,6,28,10,136,165,253,405,289,283,345,791,751,970,5363,3004,813,3423,1978,3014,918,120,61,37021,16914,1431,801,439,20107,1391,941,541,36,11433
120,ZCTA5 11507,5173,52,0,0,0,29,10,50,51,0,39,0,27,16,154,681,68,192,448,323,1428,911,466,228,7225,3659,208,173,67,3566,235,136,46,36,11507
121,ZCTA5 11510,23429,172,0,7,0,53,61,105,156,161,290,181,117,65,292,4649,549,1050,3158,2574,5835,2992,690,226,33299,16250,1116,935,329,17049,1239,575,366,36,11510
122,ZCTA5 11557,5730,46,0,0,0,0,0,1,0,4,97,30,38,36,99,1035,123,158,691,254,1727,717,522,152,7878,3576,193,175,11,4302,223,322,41,36,11557
123,ZCTA5 11568,2280,13,0,0,0,0,0,0,0,0,2,0,13,0,16,219,15,45,96,132,819,338,491,81,4548,2133,141,112,242,2415,179,129,384,36,11568
124,ZCTA5 11575,11424,512,0,0,0,20,65,89,207,260,234,354,161,145,319,3643,379,443,1330,913,1405,622,148,49,17180,8397,478,355,177,8783,231,419,134,36,11575
125,ZCTA5 11004,11517,169,0,0,0,0,0,51,101,21,143,51,155,68,264,2629,237,477,1007,1118,2958,1578,361,129,15098,7286,213,161,126,7812,287,256,68,36,11004
126,ZCTA5 11005,1759,0,0,0,0,0,19,0,0,0,0,0,0,0,0,315,0,64,402,5,416,393,133,6,1759,550,0,0,0,1209,0,0,0,36,11005
127,ZCTA5 11023,5949,80,0,0,0,1,0,14,58,38,49,27,44,56,86,956,30,169,481,255,1712,1098,681,114,9301,4611,338,151,81,4690,454,175,50,36,11023
128,ZCTA5 11965,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,94,177,16,0,380,263,0,0,0,117,0,0,8,36,11965
129,ZCTA5 11934,4938,37,0,0,0,0,0,42,5,0,0,38,59,19,106,1182,156,308,680,775,683,644,106,98,7584,3561,262,73,209,4023,278,292,63,36,11934
130,ZCTA5 11211,69815,1538,96,85,21,180,417,255,1005,497,1346,718,1089,1416,2600,11454,1746,1717,5513,2248,23249,9286,2254,783,103123,51729,2866,1793,991,51394,2911,1612,856,36,11211
131,ZCTA5 11372,47874,2507,47,0,198,171,99,681,1062,343,1195,787,1079,742,1761,12783,1283,1299,3992,3954,8272,4144,649,644,62854,31444,2028,914,253,31410,1337,631,508,36,11372
132,ZCTA5 11980,4441,29,0,0,0,0,0,8,16,0,25,28,57,129,46,1454,122,220,608,393,797,436,61,12,5865,3375,71,80,125,2490,103,65,55,36,11980
133,ZCTA5 11596,6981,83,0,0,0,0,5,0,0,14,72,10,26,42,52,1166,84,253,663,544,2012,1447,403,105,10347,5007,452,310,220,5340,375,270,144,36,11596
134,ZCTA5 11217,32092,246,0,28,0,75,34,201,130,68,341,335,327,674,641,2398,690,518,2107,1125,11119,7161,2410,1237,41813,19884,877,654,160,21929,899,478,87,36,11217
135,ZCTA5 11516,4142,19,0,0,0,0,0,0,17,0,0,0,18,75,32,832,46,98,344,204,1108,836,446,67,7372,3447,224,132,81,3925,369,367,97,36,11516
136,ZCTA5 11779,26354,237,0,0,16,9,43,66,63,75,94,123,93,342,390,7957,747,2033,3268,3374,4475,2536,341,72,37837,18790,1277,652,481,19047,1161,734,390,36,11779
137,ZCTA5 11790,8914,17,0,0,0,0,0,0,0,30,1,18,2,0,95,957,68,273,554,996,2800,1988,505,610,17304,9225,504,485,1417,8079,275,62,981,36,11790
138,ZCTA5 11803,20117,178,0,14,0,0,0,17,38,0,40,26,84,28,233,2998,317,965,1334,1096,6643,4424,1269,413,28520,14036,975,684,212,14484,815,452,210,36,11803
139,ZCTA5 11940,3784,18,0,0,0,0,0,10,6,0,0,48,52,16,16,905,117,328,626,496,510,542,46,48,5532,2912,293,182,114,2620,211,159,80,36,11940
140,ZCTA5 11948,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,96,22,58,43,118,0,710,453,11,25,0,257,0,22,0,36,11948
141,ZCTA5 11951,8829,42,0,0,26,0,34,56,7,0,188,238,299,364,90,3349,526,538,972,789,777,398,65,59,13015,6191,376,232,337,6824,440,443,307,36,11951
142,ZCTA5 11740,6705,36,13,0,0,0,19,0,12,0,57,23,45,37,15,973,79,237,740,543,1957,1362,399,141,9693,4621,453,236,84,5072,335,195,51,36,11740
143,ZCTA5 11206,53620,1945,29,56,91,419,280,895,991,413,1296,1402,1165,1793,1975,12520,2470,1931,5511,2505,11194,3446,526,128,88422,42990,3531,2071,1238,45432,3112,1777,862,36,11206
144,ZCTA5 11363,5366,33,0,0,0,0,0,12,9,14,47,0,8,25,88,917,104,165,510,420,1680,802,338,185,7096,3398,172,35,62,3698,130,72,36,36,11363
145,ZCTA5 11501,15225,140,0,0,12,0,236,222,171,4,106,50,168,133,256,3083,254,661,2038,1265,3602,1923,646,198,19621,9699,281,262,311,9922,316,254,109,36,11501
146,ZCTA5 11514,3353,56,0,0,0,0,37,28,0,25,16,12,8,95,72,1021,53,256,277,237,768,310,82,0,4694,2287,93,103,29,2407,226,121,44,36,11514
147,ZCTA5 11735,23999,218,0,0,15,0,0,26,108,52,149,82,147,98,385,6569,767,1083,2920,2192,5507,3143,366,157,33893,16655,899,511,433,17238,788,584,393,36,11735
148,ZCTA5 11792,5616,57,0,0,0,0,4,0,40,0,44,0,49,2,43,854,56,218,644,729,1321,1166,233,156,7853,3928,362,74,35,3925,213,170,101,36,11792
149,ZCTA5 11968,8335,20,0,0,0,0,0,0,0,2,24,14,55,56,48,1642,96,320,901,606,2528,1332,582,109,10517,4972,230,175,87,5545,225,259,110,36,11968
150,ZCTA5 13364,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,5,6,10,24,0,0,0,89,44,6,0,5,45,0,0,0,36,13364
151,ZCTA5 13404,94,0,0,0,0,0,0,0,0,0,4,0,13,0,4,44,0,0,3,18,8,0,0,0,124,55,10,3,0,69,10,0,0,36,13404
152,ZCTA5 13410,190,0,0,0,0,0,0,0,0,0,4,2,0,14,0,58,29,14,42,10,9,8,0,0,291,146,9,16,5,145,3,0,9,36,13410
153,ZCTA5 13415,59,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,4,5,12,3,14,0,6,0,73,32,0,0,0,41,3,0,0,36,13415
